x,y,z
35.077501297,7.109999895,-0.545499980
76.028999329,10.744999886,2.805999994
36.035499573,-17.426000118,0.238750000
33.476000786,-17.297749996,-0.681500003
4.163000107,19.837666829,-0.200666666
0.283999994,20.350999832,0.784500003
42.645999908,-9.442000389,-1.194000006
37.604999542,14.228499889,-0.111000001
17.494199753,-16.304200109,-0.858333329
32.503499985,17.245999336,0.322500005
5.507367358,14.550265390,-0.851918368
39.049499512,-11.410374999,-0.239875002
22.057499886,-7.737499952,-1.406000018
32.551999410,14.406999906,1.150333325
2.995733346,-4.480333318,-1.694533337
76.075500488,13.201000214,2.819999933
7.133312523,19.702875137,-0.290437497
41.452999115,-17.714500427,-0.288000003
47.479499817,13.065000057,1.718499959
39.991500854,-17.687999725,-0.273500003
34.544500351,17.136499405,1.513000011
75.417999268,11.626999855,2.789000034
35.492000580,17.054667155,1.540666699
32.669998169,-17.091999054,1.455999970
8.055023840,0.092738096,-1.638285731
40.529998779,-9.239000320,-1.126000047
1.901199985,20.096599770,-1.382100010
47.216400146,14.559200096,1.754599977
12.016542816,8.276085745,-0.325514285
23.570333481,-4.744666735,-1.452333331
47.111285618,13.622571264,1.689571432
15.456999969,-2.025000000,-1.529199982
6.980599976,19.207799530,0.599800014
76.104000092,11.122000217,2.809999943
24.148600006,3.995799923,-1.481799984
10.164357049,3.631000008,-1.588714293
20.107000351,14.687500000,0.863499999
23.576000002,-16.553666433,0.181333331
34.015000153,17.182400131,1.184000015
7.137000084,16.091999054,0.691999972
54.062999725,-18.145999908,0.782999992
39.263000488,-11.844500065,-0.864500016
76.095001221,12.835000038,2.819000006
3.013833304,14.235500018,-1.503666669
16.942500114,-9.717000008,-1.237749994
34.840000153,13.006999969,-0.316000015
0.126722224,-7.194222238,-1.632111119
75.888999939,11.456000328,2.803999901
38.221000671,-17.243000031,1.626999974
34.394001007,-9.895000458,-1.175999999
1.850249976,14.956500053,-0.466749996
0.137333336,13.671166738,-1.896999995
6.943999767,18.759000778,0.512000024
40.500000000,-17.659000397,-0.721000016
75.547996521,12.498999596,2.798000097
2.710000038,-2.642999887,-1.567000031
5.891777727,19.877444161,-0.288666669
40.500000000,-1.928500026,-1.358999997
1.568875000,19.707624912,-1.678749993
58.194999695,12.463999748,2.221999884
11.509892872,-15.957964318,-0.844964285
7.549809535,1.607547624,-1.633714267
18.624999619,15.642400169,1.031599998
7.508344798,16.498103306,0.676551719
20.019000053,-8.418499947,-1.398999989
28.935833295,1.132333328,-1.434333324
12.058856964,16.960571289,-1.360142861
64.785499573,10.151500225,2.218500018
38.658000946,14.078333219,-0.727666656
75.444000244,12.117000103,2.793000102
54.686000824,-18.569999695,1.796000004
36.896999359,-12.152000427,0.145999998
12.558692345,-0.414307691,-1.580999989
76.015998840,13.560000420,2.819999933
11.354999781,16.900249958,-0.732249990
12.070666631,18.955666860,0.969166676
9.401200104,13.475800133,-1.798799992
47.103750229,13.200999737,1.708000034
24.079000201,2.622142894,-1.464428578
19.497000217,15.234999895,0.284750000
29.549332937,7.513000170,-0.843666673
2.505714280,10.599499907,-1.935357136
28.934000015,-16.679000854,1.338000059
32.513600159,5.532800007,-1.452400017
44.401666005,-17.943000158,0.207666670
64.327334086,11.520999908,2.142333349
1.503299997,7.098319988,-1.807719989
0.118000001,20.382799911,0.222599995
18.885000229,5.587285723,-1.609285712
29.735000610,-14.659000397,-0.856999993
58.446998596,14.381999969,0.112999998
34.974998474,17.078000069,1.524999976
9.432769262,16.069230520,0.802923083
44.533000946,-18.148000717,1.529999971
75.861000061,13.902000427,2.816999912
12.509615385,8.325384654,0.070846153
1.018440006,-9.361800003,-1.424959993
58.389999390,13.534999847,1.572999954
0.506022222,-14.891422187,0.581177769
11.020820520,14.164948781,-0.789589749
45.487501144,13.960499763,-0.461500004
5.888714314,19.874428340,-0.630428587
25.593999863,-12.432999611,-1.062000036
0.452736841,7.054368421,-1.820131575
22.533499718,-16.427624941,1.063499980
59.511001587,11.725999832,0.819999993
36.023749352,15.566999912,1.536249995
16.555307828,18.445538741,0.143230768
53.943000793,-18.503999710,-0.593999982
74.220001221,-19.593000412,1.375000000
12.941222120,8.259037018,-0.358518519
13.562909040,8.457545280,0.071818180
15.827272849,0.601727277,-1.556818193
21.736999512,19.257999420,0.500999987
5.012499988,0.594102940,-1.670977945
3.004750013,-8.895749993,-1.411444442
60.426998138,11.657999992,2.289999962
12.794500351,8.449500084,-1.399999976
4.929333351,14.210629604,-1.424074063
2.493666681,-10.756666692,-1.364933324
59.817001343,11.734999657,2.269999981
38.021999359,14.182000160,-0.114000000
36.784999847,-12.149999619,0.796999991
39.668999672,1.602499992,-1.326499969
25.965667089,-16.542666117,0.255333329
59.238998413,11.814999580,2.252000093
36.119499207,16.252500534,1.548000038
76.473503113,10.506500244,0.987000018
16.532999992,-13.781499863,-1.129000008
1.501086958,-15.050000025,0.581565223
58.678001404,11.798000336,2.233000040
5.500500063,-12.998083313,-1.319083328
10.539083242,-9.446749926,0.672750006
21.016375065,3.111000031,-1.503624991
4.015583297,-5.692875028,-1.528875008
3.146111144,-9.551777893,0.312333334
58.212999980,12.085999807,2.219333331
48.043498993,13.101499557,0.246499993
1.496454548,9.010409182,-1.891045457
34.994998932,-17.383500099,0.238000005
40.479333242,-17.853000005,1.704999963
14.956249952,10.115749836,-1.816624999
36.483001709,14.125499725,1.532000005
32.816001892,17.214000702,0.324000001
9.540444427,3.084388879,-1.599111100
44.412500381,16.048500061,1.805999994
18.723333359,16.446666718,0.854333321
19.214000702,8.126000404,-0.463000000
27.446599579,-16.603799820,0.630000007
29.012166659,-17.009499550,0.109499999
21.087749958,2.120750010,-1.499375015
19.599800110,15.130200005,1.046600008
22.952500343,-16.627749920,-0.241000000
58.937999725,11.805999756,0.814999998
58.255001068,12.668000221,2.224999905
26.356000083,3.079571451,-1.438714300
58.309665680,13.000666936,2.229000012
3.987270284,-15.288810833,0.602432436
16.975933329,16.111733309,-0.271066669
4.976049995,-15.518124914,0.137449997
25.997999191,-8.760000229,-1.348000050
58.390998840,13.371999741,2.234999895
22.991888682,-16.435666614,0.700888892
13.000499884,18.757166862,0.278833345
11.496250001,8.243636413,-0.808840905
9.990000248,16.360500336,0.177000001
76.541000366,10.564999580,0.449999988
36.708000183,-8.831999779,-1.251000047
38.269749641,-8.447499990,-1.306749970
29.358666738,-10.254333496,-1.179333329
21.541333516,-14.016666730,-1.087000012
14.147333145,-10.521999995,-1.213333368
58.277000427,11.767999649,0.808000028
17.491899872,-0.413600002,-1.518500018
3.334999919,19.903999329,-1.906000018
7.905444410,10.092333264,-1.910777794
53.966501236,12.624499798,2.083500028
36.028499603,16.966000557,1.555499971
72.217002869,-11.013999939,0.093000002
47.860500336,13.008499622,1.729000032
34.463713510,7.649285793,-1.216857144
27.070250034,13.073250055,-0.030749999
47.319333394,15.225666364,1.679666678
27.007299995,17.234799957,1.124999982
47.651000977,-18.107999802,0.982999980
18.753000259,16.232000351,0.167999998
36.923000336,14.252500057,0.331999987
58.413998922,14.152333260,2.241666714
35.951000214,-14.113999844,-1.032000005
27.522249699,12.971250057,-0.327250000
74.752998352,14.100999832,1.365000010
33.079249382,-17.032249928,1.143499970
58.275001526,14.409999847,2.239000082
6.024749994,-15.671125054,0.180375002
5.968692303,-7.893769228,-1.610692318
16.070250154,14.422999978,-0.359624998
33.069999695,-10.024000168,-1.128000021
57.821998596,14.489999771,2.224999905
48.791000366,-15.414999962,-0.867999971
44.940500259,-18.067000389,1.539499998
43.750000000,-10.119999886,-1.233000040
11.930500189,16.701333364,-0.432000001
36.289001465,14.378999710,1.529000044
27.603000641,-16.641000748,0.307999998
37.959999084,14.017000198,1.577000022
9.850999832,11.421400070,-1.834800029
41.044998169,4.057500124,-1.386000037
16.241999626,3.804499984,-1.541000009
43.657001495,-7.953000069,-1.215999961
40.436999003,-17.410999934,1.280333320
21.176555845,1.100777772,-1.500222233
3.552333355,15.196333249,-1.433666666
4.516694443,2.094611115,-1.668701382
39.167499542,-11.829500198,-0.116499998
42.895750999,13.591249943,1.659499973
19.646999359,22.958000183,-0.217999995
57.325000763,14.557000160,2.209000111
34.494998932,7.180500031,-1.153999984
32.415334066,-12.008333206,1.104666650
20.709332784,11.767666817,-1.709999998
